,Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Year,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23,Chg_Avg_Spnd_Per_Dsg_Unt_22_23,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Avg_Spnd_Per_Dsg_Unt_Wghtd,Outlier_Flag,Tot_Benes,Tot_Clms,Tot_Dsg_Unts,Tot_Spndng,ATC_Codes,Disease_Category
419,Acetaminophen-Codeine,Acetaminophen With Codeine,10,Overall,2023,0.0341831837,-0.152511742,27.50413201,12.330074763,0.2464384255,0.0,1131972.0,2525038.0,122934247.87,31133907.32,,Other / Not classified
470,Acetazolamide,Acetazolamide,11,Overall,2019,-0.123373889,-0.087449885,213.15029073,100.8329537,1.5457630126,0.0,88880.0,187883.0,12145168.25,18944797.84,S01EC,Other / Not classified
471,Acetazolamide,Acetazolamide,11,Overall,2020,-0.123373889,-0.087449885,267.27164772,111.35327798,1.5127315181,0.0,66492.0,159595.0,11716553.0,17771426.4,S01EC,Other / Not classified
472,Acetazolamide,Acetazolamide,11,Overall,2021,-0.123373889,-0.087449885,195.18479641,79.745363977,1.0790370654,0.0,76184.0,186468.0,13694349.58,14869958.53,S01EC,Other / Not classified
473,Acetazolamide,Acetazolamide,11,Overall,2022,-0.123373889,-0.087449885,179.75374534,72.931172441,1.0003311581,0.0,86171.0,212386.0,15480709.241,15489559.99,S01EC,Other / Not classified
474,Acetazolamide,Acetazolamide,11,Overall,2023,-0.123373889,-0.087449885,163.64961138,66.458171897,0.9128523131,0.0,90681.0,223297.0,16232723.086,14839910.41,S01EC,Other / Not classified
530,Acetazolamide ER,Acetazolamide,7,Overall,2019,-0.116141931,-0.210398027,260.78620775,107.28672933,1.7910105324,0.0,34378.0,83564.0,5012496.0,8965308.25,S01EC,Other / Not classified
531,Acetazolamide ER,Acetazolamide,7,Overall,2020,-0.116141931,-0.210398027,296.13714375,108.44236154,1.6191603119,0.0,28814.0,78686.0,5266670.286,8532895.66,S01EC,Other / Not classified
532,Acetazolamide ER,Acetazolamide,7,Overall,2021,-0.116141931,-0.210398027,224.52251175,89.779419731,1.357154745,0.0,32774.0,81962.0,5449502.0,7358500.8,S01EC,Other / Not classified
533,Acetazolamide ER,Acetazolamide,7,Overall,2022,-0.116141931,-0.210398027,238.33685923,97.203297934,1.3842675541,0.0,32336.0,79286.0,5577598.0,7706860.68,S01EC,Other / Not classified
