Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spnd_Per_Dsg_Unt_Wghtd_2023,Avg_Spnd_Per_Clm_2023,Avg_Spnd_Per_Bene_2023,Outlier_Flag_2023,Chg_Avg_Spnd_Per_Dsg_Unt_22_23,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23
Oxycodone HCl ER,Oxycodone HCl,1,Camber Pharmace,,,,,,,,,,,,,,,,,857272.85,148102,2415,849,5.6411478251,354.9784058,1009.7442285,0,1901339.88,288506,4726,1270,6.3963857133,402.31482861,1497.1180157,0,118199.06,17101,341,214,6.7137567941,346.62480938,552.33205607,0,0.0496172518,0.0909354696
Oxycodone HCl ER,Oxycodone HCl,1,Amneal Pharmace,5289027.59,834705,13895,3866,5.9211009628,380.64250378,1368.0878401,0,5742892.98,976045.99,16571,4272,5.50414738,346.56284956,1344.3101545,0,4001402.35,579076.988,9651,2872,6.336853583,414.61012848,1393.2459436,0,2211633.87,263576,4826,2066,7.5175629523,458.27473477,1070.4907406,0,5500977.21,526948,9562,3118,9.2001709184,575.29567141,1764.26466,0,0.2238235951,0.1164733405
Oxycodone HCl ER,Oxycodone HCl,1,Actavis/Teva,3144318.28,322733,4591,2223,9.3482034376,684.88744936,1414.4481691,0,1676024.3,192065,2803,808,8.4597491228,597.93945772,2074.2875,0,3394404.48,368982,5311,1125,8.9372742267,639.12718509,3017.2484267,0,760840.09,65222,1007,445,11.420351801,755.55123138,1709.7530112,0,9385.23,1022,16,15,9.0463942874,586.576875,625.682,1,-0.207870787,-0.008170916
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,17,Overall,304200025.06,697121942.58,8956731,2200783,0.414332397,33.963286947,138.22354365,0,286468685.95,689021678.7,8706478,1971264,0.4031596893,32.902935716,145.32233427,0,239805238.43,680359755.53,8661661,2018434,0.339989957,27.685825898,118.80756984,0,251484955.66,673349730.49,8601525,2012977,0.3541037102,29.237252192,124.93185747,0,263023627.1,657561113.56,8573186,2133988,0.3736766764,30.679799447,123.25450148,0,0.0552746713,-0.025488935
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Xlcare Pharmace,,,,,,,,,,,,,,,,,546.58,2868,35,20,0.1728824168,15.616571429,27.329,1,666.47,4991,82,42,0.1282770278,8.1276829268,15.868333333,0,795.42,8448,124,58,0.0928549493,6.4146774194,13.714137931,0,-0.27613735,-0.26712971
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Rhodes Pharmace,107563412.93,260581452.5,3379826,972007,0.3919368243,31.825133285,110.66115052,0,107188759.98,260090849,3302874,880213,0.4013095616,32.45317865,121.77593376,0,47669414.04,220065852.1,2753385,771732,0.207903237,17.313021622,61.769388907,0,40024638.9,211891334.5,2656418,742367,0.1788165817,15.067146398,53.914895059,0,34980387.45,186469919,2377623,802567,0.1764786437,14.712335576,43.585628926,0,-0.013074503,-0.180839463
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Mayne Pharma In,344454.7,684416,11540,7599,0.5222168154,29.848760832,45.328951178,0,16595.92,41670,801,461,0.3971745862,20.719001248,35.999826464,0,10842.34,31927,438,357,0.3404316311,24.754200913,30.37070028,0,6588.51,11667,179,124,0.5643575769,36.807318436,53.133145161,0,19863.63,40855,534,439,0.4860307089,37.197808989,45.247448747,0,-0.138789433,-0.017792571
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Mallinckrodt Ph,124207987.53,268460202.49,3475751,978218,0.4356765496,35.735582765,126.9737293,0,104903012.04,236090872.13,2944896,762804,0.4267958405,35.621975119,137.52289191,0,113427854.09,265317933,3348229,900506,0.4087829758,33.87697021,125.9601314,0,125205512.08,289121971.5,3654560,989906,0.4112609239,34.26007839,126.48222365,0,145708688.62,358891875.56,4751890,1443110,0.3887199409,30.663312623,100.96852535,0,-0.054809445,-0.028107661
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Major Pharmaceu,17324.24,34782,1065,537,0.4876833899,16.266892019,32.261154562,0,25469.22,51791,1267,612,0.4739628037,20.10198895,41.616372549,0,13017.6,28205,746,360,0.4408844308,17.449865952,36.16,0,27982.08,68389,1247,777,0.3723851672,22.439518845,36.012972973,0,305522.65,771152,10577,8570,0.3650863585,28.885567741,35.650250875,0,-0.019600159,-0.069825541
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Nostrum Laborat,,,,,,,,,,,,,,,,,,,,,,,,,8498.01,7044,32,27,1.2064182283,265.5628125,314.74111111,0,24453.43,24978.5,94,63,0.978979122,260.14287234,388.14968254,0,-0.188524262,-0.188524262
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Lannett Co. Inc,,,,,,,,,2217.68,3233,41,23,0.6959448629,54.089756098,96.420869565,1,1812.7,2836,31,18,0.6403010317,58.474193548,100.70555556,1,679.8,1453,30,14,0.4630894639,22.66,48.557142857,1,1346.04,3619,42,33,0.3651391581,32.048571429,40.789090909,1,-0.211514866,-0.193456383
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,"KVK-Tech, Inc.",143528.88,429419,6511,4142,0.301282554,22.04406082,34.652071463,0,574985.93,1559432,25472,13853,0.3551733455,22.573254161,41.506239082,0,699599.86,1449431,25098,15851,0.5031477846,27.874725476,44.136007823,0,1385243.15,2921581.5,44033,25592,0.4954209526,31.45920446,54.127975539,0,2551887.3,5431555,61543,34255,0.5259538169,41.465110573,74.496782951,0,0.0616301433,0.1494587927
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Fh2 Pharma LLC,,,,,,,,,,,,,,,,,552699.18,10814,109,104,51.119560247,5070.6346789,5314.4151923,0,15225534.86,305739,3053,714,49.905631666,4987.0733246,21324.278515,0,38445969.55,772584,7621,2041,50.213141255,5044.7407886,18836.829765,0,0.0061618214,-0.008905329
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Eywa Pharma Inc,240732.28,684175,8127,6369,0.336976652,29.621296912,37.797500393,0,3841138.04,10507980.5,121680,46402,0.351071017,31.567538133,82.779579328,0,5262380.43,13562276.428,155992,61771,0.3718805958,33.734937881,85.191763611,0,4321101.01,11006899,124373,51277,0.378054168,34.743079366,84.269770267,0,3551462.73,10590855,132778,64928,0.3153508382,26.747373285,54.698477236,0,-0.165858057,-0.01644524
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Dr.Reddy'S Lab,66489.66,132007,1382,567,0.5050724174,48.111186686,117.26571429,0,7730.62,17780,177,55,0.4292764803,43.675819209,140.55672727,0,6394.42,20747,206,35,0.3080599346,31.040873786,182.69771429,0,6182.56,19662,197,39,0.3147480693,31.383553299,158.52717949,0,506.2,1655,18,16,0.3124568605,28.122222222,31.6375,1,-0.007279501,-0.113131758
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Camber Pharmace,18024227.58,44373034.5,564134,250909,0.3907129067,31.9502593,71.835715658,0,19237466.16,58618025.5,766222,235306,0.3200897124,25.106909173,81.755102547,0,26646691.18,73654446,1006120,314087,0.3499455687,26.484605395,84.838567594,0,19421360.55,53024698.99,756138,292947,0.3567806081,25.684941836,66.296499196,0,411744.38,1013560,16541,10044,0.4547064296,24.892351128,40.994064118,0,0.2744706949,0.0386478689
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Bryant Ranch Pr,,,,,,,,,,,,,,,,,1207.16,5327,66,43,0.2378443718,18.29030303,28.073488372,1,672.68,3018,33,16,0.2222736975,20.384242424,42.0425,1,1010.5,722,14,12,1.2434205043,72.178571429,84.208333333,1,4.5940964599,1.2864545496
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Aurobindo Pharm,13225267.54,32281326.5,388157,129301,0.3953611722,34.071954235,102.28279395,0,9703573.46,25383453.5,306336,106980,0.3748009035,31.676242622,90.704556553,0,6218300.81,16006702,190702,77956,0.3792003397,32.607423152,79.766801914,0,2816934.37,6834929,84108,41699,0.4005737819,33.491871998,67.554002974,0,494552.21,1402467,18689,11061,0.3442830387,26.462208251,44.711347075,0,-0.140525281,-0.033992712
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Amneal Pharmace,6004005.79,13529475.6,178610,77095,0.4257216897,33.615171547,77.8780179,0,15224878.72,33706726.5,466139,152154,0.4429211863,32.661671132,100.06229688,0,14337853.16,30630510,441072,155141,0.4563068233,32.506831447,92.418207695,0,11674105.62,25659697.5,372535,149282,0.4384428886,31.336936449,78.201696253,0,3849487.63,9254405.5,143432,87065,0.4050909188,26.838415626,44.213950841,0,-0.076069131,-0.01234178
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,Alvogen Inc,34353077.06,75916254.998,941081,265047,0.4355208778,36.503847235,129.6112654,0,25734857.05,62932648.565,770207,210350,0.4001624007,33.412909841,122.34303328,0,24952131.56,59560032.999,739166,208705,0.4074101098,33.757141914,119.5569419,0,31355068.7,72457285.5,904254,266673,0.4191711457,34.675067735,117.57871513,0,32634674.8,82779917,1050482,406837,0.3837592018,31.066381718,80.215601826,0,-0.084480872,-0.031136811
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,1,AHP,9516.87,15397,547,312,0.6638063082,17.398299817,30.502788462,0,8001.13,17217,366,209,0.608510403,21.861010929,38.28291866,0,4493.32,9848,266,151,0.5196221476,16.892180451,29.757086093,0,4186.31,9370,253,124,0.4309424825,16.546679842,33.760564516,0,41274.56,102546,1184,952,0.4029436124,34.86027027,43.355630252,0,-0.064971246,-0.117325206
Oxycontin,Oxycodone HCl,1,Overall,622970196.55,60300695.2,986438,124982,9.6625501057,631.53507524,4984.4793374,0,558686953.57,52078917.21,852784,101492,10.05572119,655.13301559,5504.7388323,0,453164731.1,40245691.09,665848,84075,10.524310822,680.58285239,5390.0057223,0,416084688.63,35062848.25,581330,70356,11.097788146,715.74611431,5913.9901164,0,390573654.37,31922468,535789,65061,11.452416434,728.96915459,6003.1916873,0,0.0319548619,0.0434012271
Oxycontin,Oxycodone HCl,1,Purdue Pharma L,622970196.55,60300695.2,986438,124982,9.6625501057,631.53507524,4984.4793374,0,558686953.57,52078917.21,852784,101492,10.05572119,655.13301559,5504.7388323,0,453164731.1,40245691.09,665848,84075,10.524310822,680.58285239,5390.0057223,0,416084688.63,35062848.25,581330,70356,11.097788146,715.74611431,5913.9901164,0,390573654.37,31922468,535789,65061,11.452416434,728.96915459,6003.1916873,0,0.0319548619,0.0434012271
