Gnrc_Name,ATC_Codes,Disease_Category
Dexamethasone Sodium Phosp/PF,,
Dexamethasone Sodium Phosphate,A01AC|C05AA|D07AB|D07XB|D10AA|H02AB|R01AD|S01BA|S01CB|S02BA|S03BA,
Dexchlorpheniramine Maleate,R06AB,
Dexlansoprazole,A02BC,
Dexmedetomidine HCl,,
Dexmethylphenidate HCl,,
Dextroamphetamine,N06BA,
Dextroamphetamine Sulfate,N06BA,
Dextroamphetamine/Amphetamine,,
Dextromethorphan HBr/Bupropion,,
Dextromethorphan HBr/Quinidine,,
Dextrose 10 % And 0.45 % NaCl,,
Dextrose 10 % In Water,,
Dextrose 5 % And 0.9 % NaCl,,
Dextrose 5 % In Water,,
Dextrose 5 %-0.2 % Sod Chlorid,,
Dextrose 5 %-0.45 % Sod Chlord,,
Dextrose 5%-Lactated Ringers,,
Dextrose 50 % In Water,,
Dextrose 70 % In Water,,
"Diabetic Supplies,Miscell",,
Diazepam,N05BA,
Diazoxide,C02DA|V03AH,Hypertension
Dichlorphenamide,S01EC,
Diclofenac Epolamine,D11AX|M01AB|M02AA|S01BC,Arthritis
Diclofenac Potassium,D11AX|M01AB|M02AA|S01BC,Arthritis
Diclofenac Sodium,D11AX|M01AB|M02AA|S01BC,Arthritis
Diclofenac Sodium/Misoprostol,,
Diclofenac Submicronized,,
Dicloxacillin Sodium,J01CF,
Dicyclomine HCl,,
Difenoxin HCl/Atropine Sulfate,,
Diflorasone Diacet/Emollient,,
Diflorasone Diacetate,D07AC,
Diflunisal,N02BA,
Difluprednate,D07AC|S01BA,
Digoxin,C01AA,
Dihydroergotamine Mesylate,N02CA,
Diltiazem HCl,,
Dimethyl Fumarate,L04AX,Arthritis
Dimethyl Sulfoxide,G04BX|M02AX,Arthritis
"Diph,Pertus(Acel),Tet,Polio/PF",,
"Diph,Pertuss(Acell),Tet Ped/PF",,
"Diph,Pertuss(Acell),Tet Vac/PF",,
Diphenhydramine HCl,,
Diphenoxylate HCl/Atropine,,
"Dipht,Pert(A),Tet-Polio/Hib/PF",,
"Diphth,Pertuss(Acell),Tet Vac",,
Dipyridamole,B01AC,
Diroximel Fumarate,L04AX,Arthritis
Disopyramide Phosphate,C01BA,
Disulfiram,N07BB|P03AA,
Divalproex Sodium,,
Dobutamine HCl,,
Dobutamine HCl In Dextrose 5 %,,
Docetaxel,L01CD,
Dofetilide,C01BD,
Dolutegravir Sodium,J05AJ,
Dolutegravir Sodium/Lamivudine,,
Dolutegravir/Rilpivirine,,
Donepezil HCl,,
Doravirine,J05AG|J05AR,
Doravirine/Lamivu/Tenofov Diso,,
Dornase Alfa,R05CB,
Dorzolamide HCl,,
Dorzolamide HCl/Timolol Maleat,,
Dorzolamide/Timolol/PF,,
Dostarlimab-Gxly,L01FF,
Doxazosin Mesylate,C02CA,Hypertension
Doxepin HCl,,
Doxercalciferol,H05BX,
Doxorubicin HCl,,
Doxorubicin HCl PEG-Liposomal,,
Doxycycline Calcium,A01AB|J01AA,
Doxycycline Hyclate,A01AB|J01AA,
Doxycycline Monohydrate,A01AB|J01AA,
Doxylamine Succinate/Vit B6,,
Dronabinol,A04AD,
Dronedarone HCl,,
Droperidol,N05AD,
Drospir/Eth Estra/Levomefol Ca,,
Drospirenone,G03AA|G03AC,
Drospirenone/Estetrol,,
Drospirenone/Estradiol,,
Droxidopa,C01CA,
Dulaglutide,A10BJ,Diabetes
Duloxetine HCl,,
Dupilumab,D11AH,
Durvalumab,L01FF,
Dutasteride,G04CA|G04CB,
Dutasteride/Tamsulosin HCl,,
Duvelisib,L01EM,
Ecallantide,B06AC,
Echothiophate Iodide,S01EB,
Econazole Nitrate,D01AC|G01AF,
Eculizumab,L04AJ,Arthritis
Edaravone,N07XX,
Edoxaban Tosylate,B01AF,
Efavirenz,J05AG|J05AR,
Efavirenz/Emtricit/Tenofovr Df,,
Efavirenz/Lamivu/Tenofov Disop,,
Efgartigimod Alfa-Fcab,L04AA,Arthritis
Efgartigimod-Hyaluronidas-Qvfc,,
Efinaconazole,D01AC,
Eflapegrastim-Xnst,L03AA,
Elacestrant HCl,,
Elagolix Sodium,H01CC,
Elagolix/Estradiol/Norethindrn,,
Elapegademase-Lvlr,L03AX,
Elbasvir/Grazoprevir,,
Electrolyte-A Solution,,
Eletriptan Hydrobromide,N02CC,
Elexacaftor/Tezacaftor/IVacaft,,
Eliglustat Tartrate,A16AX,
Elosulfase Alfa,A16AB,
Elotuzumab,L01FX,
Eltrombopag Olamine,B02BX,
Eluxadoline,A07DA,
Elviteg/Cob/Emtri/Tenof Alafen,,
Elviteg/Cob/Emtri/Tenofo Disop,,
Emapalumab-Lzsg,L04AG,Arthritis
Empaglifloz/Linaglip/Metformin,,
Empagliflozin,A10BD|A10BK,Diabetes
Empagliflozin/Linagliptin,,
Empagliflozin/Metformin HCl,,
Emtricita/Rilpivirine/Tenof Df,,
Emtricitab/Rilpiviri/Tenof Ala,,
Emtricitabine,J05AF|J05AR,
Emtricitabine/Tenofov Alafenam,,
Emtricitabine/Tenofovir (Tdf),,
Enalapril Maleate,C09AA,Hypertension
Enalapril/Hydrochlorothiazide,,
Enalaprilat Dihydrate,,
Enasidenib Mesylate,L01XM,
Encorafenib,L01EC,
Enfortumab Vedotin-Ejfv,,
Enfuvirtide,J05AX,
Enoxaparin Sodium,B01AB,
Entacapone,N04BX,
Entecavir,J05AF,
Entrectinib,L01EX,
Enzalutamide,L02BB,
Epinastine HCl,,
Epinephrine,A01AD|B02BC|C01CA|R01AA|R03AA|S01EA,
Epinephrine HCl/PF,,
Eplerenone,C03DA,Hypertension
Epoetin Alfa,,
Epoetin Alfa-Epbx,,
Epoprostenol Sodium,B01AC,
Epoprostenol Sodium (Glycine),,
Eptinezumab-Jjmr,N02CD,
Eravacycline Di-Hydrochloride,,
Erdafitinib,L01EN,
Erenumab-Aooe,N02CD,
Ergocalciferol (Vitamin D2),,
Ergoloid Mesylates,C04AE,
Ergotamine Tartrate,N02CA,
Ergotamine Tartrate/Caffeine,,
Eribulin Mesylate,L01XX,
Erlotinib HCl,,
Ertapenem Sodium,J01DH,
Ertugliflozin Pidolate,A10BK,Diabetes
Ertugliflozin/Metformin,,
Ertugliflozin/Sitagliptin Phos,,
Erythromycin Base,,
Erythromycin Base In Ethanol,,
Erythromycin Ethylsuccinate,D10AF|J01FA|S01AA,
Erythromycin Lactobionate,D10AF|J01FA|S01AA,
Erythromycin Stearate,D10AF|J01FA|S01AA,
Erythromycin/Benzoyl Peroxide,,
Escitalopram Oxalate,N06AB,
Esketamine HCl,,
Eslicarbazepine Acetate,N03AF,
Esomeprazole Magnesium,A02BC,
Esomeprazole Sodium,A02BC,
Estazolam,N05CD,
Estradiol,G03AA|G03AB|G03CA,
Estradiol Acetate,G03CA,
Estradiol Cypionate,G03AA|G03CA,
Estradiol Valerate,G03AA|G03AB|G03CA,
Estradiol Valerate/Dienogest,,
Estradiol/Levonorgestrel,,
Estradiol/Norethindrone Acet,,
Estradiol/Norgestimate,,
Estradiol/Progesterone,,
Estramustine Phosphate Sodium,L01XX,
"Estrogen,Con/M-Progest Acet",,
"Estrogens, Conjugated",,
"Estrogens,Conj/Bazedoxifene",,
"Estrogens,Esterified",,
Eszopiclone,N05CF,
Etanercept,L04AB,Arthritis
Eteplirsen,M09AX,
Ethacrynic Acid,C03CC,Hypertension
Ethambutol HCl,,
Ethinyl Estradiol/Drospirenone,,
Ethosuximide,N03AD,
Ethynodiol D-Ethinyl Estradiol,,
Etodolac,M01AB,Arthritis
Etonogestrel,G03AC,
Etonogestrel/Ethinyl Estradiol,,
Etoposide,L01CB,
Etoposide Phosphate,L01CB,
Etravirine,J05AG,
Everolimus,L01EG|L04AH,Arthritis
Evinacumab-Dgnb,C10AX,High Cholesterol
Evolocumab,C10AX,High Cholesterol
Exemestane,L02BG,
Exenatide,A10BJ,Diabetes
Exenatide Microspheres,,
Ezetimibe,C10AX|C10BA,High Cholesterol
Ezetimibe/Rosuvastatin Calcium,,
Ezetimibe/Simvastatin,,
Fam-Trastuzumab Deruxtecn-Nxki,,
Famciclovir,J05AB|S01AD,
Famotidine,A02BA,
"Famotidine In NaCl,Iso-Osm/PF",,
Famotidine/PF,,
Faricimab-Svoa,S01LA,
Fat Emul/Soy/Mct/Oliv/Fish Oil,,
Fat Emulsion/Olive/Soy/Phospho,,
Fat Emulsions,,
Febuxostat,M04AA,Arthritis
"Fecal Microbio Spore,Live-Brpk",,
"Fecal Microbiota, Live-Jslm",,
Fedratinib Dihydrochloride,,
Felbamate,N03AX,
Felodipine,C07FB|C08CA|C09BB,Hypertension
Fenfluramine HCl,,
Fenofibrate,C10AB|C10BA,High Cholesterol
Fenofibrate Nanocrystallized,,
"Fenofibrate,Micronized",,
Fenofibric Acid (Choline),,
Fenoprofen Calcium,M01AE,Arthritis
Fentanyl,N01AH|N02AB,
Fentanyl Citrate,N01AH|N02AB,
Fentanyl Citrate/PF,,
Ferric Citrate,V03AE,
Fesoterodine Fumarate,G04BD,
Fezolinetant,G02CX,
Fidaxomicin,A07AA,
Filgrastim,L03AA,
Filgrastim-Aafi,L03AA,
Filgrastim-Ayow,L03AA,
Filgrastim-Sndz,L03AA,
Finasteride,D11AX|G04CB,
Finerenone,C03DA,Hypertension
Fingolimod HCl,,
Fingolimod Lauryl Sulfate,L04AE,Arthritis
Flavoxate HCl,,
Flecainide Acetate,C01BC,
Fluconazole,D01AC|J02AC,
"Fluconazole In NaCl,Iso-Osm",,
Flucytosine,D01AE|J02AX,
Fludrocortisone Acetate,H02AA,
Flumazenil,V03AB,
Flunisolide,R01AD|R03BA,
Fluocinolone Acetonide,C05AA|D07AC|S01BA|S02BA,
Fluocinolone Acetonide Oil,,
Fluocinolone/Shower Cap,,
Fluocinonide,C05AA|D07AC,
Fluocinonide/Emollient Base,,
